date,Close
7/21/2014,81.93
7/18/2014,83.35
7/17/2014,83.63
7/16/2014,84.91
7/15/2014,83.58
7/14/2014,84.4
7/11/2014,83.35
7/10/2014,83.42
7/9/2014,85.5
7/8/2014,84.69
7/7/2014,86.07
7/4/2014,87.05
7/3/2014,87.14
7/2/2014,85.84
7/1/2014,85.36
6/30/2014,85.03
6/27/2014,84.64
6/26/2014,85.0
6/25/2014,86.02
6/24/2014,86.52
6/23/2014,86.78
6/20/2014,87.36
6/19/2014,87.03
6/18/2014,86.02
6/17/2014,86.11
6/16/2014,85.17
6/13/2014,85.5
6/12/2014,86.2
6/11/2014,85.71
6/10/2014,85.87
6/9/2014,86.1
6/6/2014,85.86
6/5/2014,85.43
6/4/2014,85.09
6/3/2014,84.86
6/2/2014,84.5
5/30/2014,84.47
5/29/2014,84.73
5/28/2014,84.81
5/27/2014,84.44
5/26/2014,83.77
5/23/2014,83.08
5/22/2014,83.0
5/21/2014,82.97
5/20/2014,82.43
5/19/2014,82.78
5/16/2014,82.33
5/15/2014,83.17
5/14/2014,83.69
5/13/2014,83.49
5/12/2014,83.5
5/9/2014,82.43
5/8/2014,82.39
5/7/2014,81.24
5/6/2014,80.21
5/5/2014,81.28
5/2/2014,84.01
5/1/2014,83.43
4/30/2014,83.43
4/29/2014,82.81
4/28/2014,81.44
4/25/2014,81.2
4/24/2014,82.07
4/23/2014,81.47
4/22/2014,81.61
4/21/2014,79.36
4/18/2014,79.36
4/17/2014,79.36
4/16/2014,78.07
4/15/2014,76.98
4/14/2014,78.21
4/11/2014,77.62
4/10/2014,79.31
4/9/2014,78.84
4/8/2014,79.25
4/7/2014,78.89
4/4/2014,80.77
4/3/2014,80.03
4/2/2014,80.37
4/1/2014,80.72
3/31/2014,80.68
3/28/2014,80.41
